Hypothesis,Quantile,Coef,Pval
MCP,0.1,-3980.0145482944063,0.0
MCP,0.5,-5421.3301551665645,0.0
MCP,0.9,-2716.1559268329293,0.0
aFRR,0.1,1187.7769121926976,1.8272919282733516e-275
aFRR,0.5,5436.077413023231,0.0
aFRR,0.9,11632.542043217036,0.0
