Model_ID,AIC,BIC
Model 1,518814.33733087615,519025.94061545824
Model 2,518870.8948375314,519141.74704179645
Model 7.3,519298.28773182153,519526.8192791702
Model 4,496001.88431730523,496221.95247535384
Model 5,495986.28963203187,496265.6069095551
