,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,   -0.1216,    0.004,  -27.492, 0.000,   -0.130,   -0.113
1,Wind_Generation,    0.1263,    0.008,   16.265, 0.000,    0.111,    0.142
2,Import_Coal_Generation,   -0.2544,    0.007,  -35.996, 0.000,   -0.268,   -0.241
3,Hydroelectric_Generation,    0.1198,    0.006,   20.870, 0.000,    0.109,    0.131
4,Domestic_Coal_Generation,   -0.2317,    0.030,   -7.610, 0.000,   -0.291,   -0.172
5,Price_Cap,   -0.0416,    0.213,   -0.196, 0.845,   -0.458,    0.375
6,Hour_Sin,  109.4843,  136.559,    0.802, 0.423, -158.166,  377.134
7,Hour_Cos, -184.5923,  121.375,   -1.521, 0.128, -422.482,   53.298
8,Month_Sin,  380.1220,  279.140,    1.362, 0.173, -166.982,  927.226
9,Month_Cos,  522.7253,   93.377,    5.598, 0.000,  339.709,  705.742
10,Monday,  -46.4244,   16.463,   -2.820, 0.005,  -78.692,  -14.157
11,Tuesday,  -64.1423,   23.378,   -2.744, 0.006, -109.962,  -18.323
12,Wednesday,  -62.6108,   25.376,   -2.467, 0.014, -112.346,  -12.876
13,Thursday, -120.3837,   25.360,   -4.747, 0.000, -170.088,  -70.679
14,Friday, -220.8566,   22.206,   -9.946, 0.000, -264.379, -177.334
15,Saturday, -125.3597,   16.803,   -7.461, 0.000, -158.293,  -92.427
16,Solar_Share_x_Hour_8, 1526.7084,  173.350,    8.807, 0.000, 1186.948, 1866.469
17,Solar_Share_x_Hour_9, 1229.8282,  428.420,    2.871, 0.004,  390.141, 2069.516
18,Solar_Share_x_Hour_10, 1011.0874,  423.553,    2.387, 0.017,  180.939, 1841.236
19,Solar_Share_x_Hour_11, 1873.0838,  381.409,    4.911, 0.000, 1125.536, 2620.632
20,Solar_Share_x_Hour_12, 1554.7285,  427.060,    3.641, 0.000,  717.706, 2391.751
21,Solar_Share_x_Hour_13, 1912.1458,  444.888,    4.298, 0.000, 1040.182, 2784.110
22,Solar_Share_x_Hour_14, 2839.7378,  377.722,    7.518, 0.000, 2099.416, 3580.059
23,Solar_Share_x_Hour_15, 2970.8334,  365.037,    8.138, 0.000, 2255.374, 3686.293
24,Solar_Share_x_Hour_16, 2110.1836,  425.425,    4.960, 0.000, 1276.367, 2944.000
25,Solar_Share_x_Hour_17, 5098.7276,  321.194,   15.874, 0.000, 4469.199, 5728.256
26,ar.L1,    0.8838,    0.002,  376.433, 0.000,    0.879,    0.888
27,ma.L1,   -0.9970,    0.000,-2038.981, 0.000,   -0.998,   -0.996
28,ar.S.L24,    0.9846,    0.001, 1309.537, 0.000,    0.983,    0.986
29,ma.S.L24,   -0.8831,    0.002, -527.102, 0.000,   -0.886,   -0.880
30,sigma2, 1.963e+05,  722.620,  271.678, 0.000, 1.95e+05, 1.98e+05
