,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,    0.0942,    0.003,   35.364, 0.000,    0.089,    0.099
1,Wind_Generation,   -0.0912,    0.003,  -26.189, 0.000,   -0.098,   -0.084
2,Import_Coal_Generation,    0.2134,    0.006,   37.536, 0.000,    0.202,    0.225
3,Hydroelectric_Generation,   -0.0788,    0.004,  -18.721, 0.000,   -0.087,   -0.071
4,Domestic_Coal_Generation,    0.0753,    0.018,    4.254, 0.000,    0.041,    0.110
5,Price_Cap,    0.0250,    0.082,    0.304, 0.761,   -0.136,    0.186
6,Hour_Sin,   19.1233,   70.403,    0.272, 0.786, -118.864,  157.110
7,Hour_Cos,  182.2076,   70.146,    2.598, 0.009,   44.723,  319.692
8,Month_Sin, -337.1270,  184.727,   -1.825, 0.068, -699.186,   24.932
9,Month_Cos,   20.6849,   58.233,    0.355, 0.722,  -93.450,  134.820
10,Monday,   27.2907,   14.360,    1.900, 0.057,   -0.854,   55.435
11,Tuesday,    8.9685,   19.485,    0.460, 0.645,  -29.222,   47.159
12,Wednesday,    3.9567,   21.545,    0.184, 0.854,  -38.271,   46.184
13,Thursday,  -54.6558,   21.370,   -2.558, 0.011,  -96.541,  -12.770
14,Friday, -111.1485,   19.534,   -5.690, 0.000, -149.434,  -72.863
15,Saturday,  -75.7375,   14.491,   -5.226, 0.000, -104.140,  -47.335
16,Solar_Share_x_Hour_8,  -55.9683,  153.454,   -0.365, 0.715, -356.732,  244.796
17,Solar_Share_x_Hour_9,-1780.9976,  219.701,   -8.106, 0.000,-2211.603,-1350.392
18,Solar_Share_x_Hour_10,-3143.5991,  207.972,  -15.115, 0.000,-3551.217,-2735.981
19,Solar_Share_x_Hour_11,-3461.6392,  240.272,  -14.407, 0.000,-3932.564,-2990.714
20,Solar_Share_x_Hour_12,-4797.0985,  202.732,  -23.662, 0.000,-5194.445,-4399.752
21,Solar_Share_x_Hour_13,-4131.2710,  245.682,  -16.816, 0.000,-4612.799,-3649.743
22,Solar_Share_x_Hour_14,-3744.7401,  240.523,  -15.569, 0.000,-4216.156,-3273.324
23,Solar_Share_x_Hour_15,-4170.3325,  264.827,  -15.747, 0.000,-4689.384,-3651.281
24,Solar_Share_x_Hour_16,-3834.0412,  308.447,  -12.430, 0.000,-4438.587,-3229.496
25,Solar_Share_x_Hour_17,-2723.9750,  392.559,   -6.939, 0.000,-3493.377,-1954.573
26,ar.L1,    0.5226,    0.006,   94.818, 0.000,    0.512,    0.533
27,ma.L1,   -0.9390,    0.003, -362.454, 0.000,   -0.944,   -0.934
28,ar.S.L24,    0.9933,    0.001, 1166.022, 0.000,    0.992,    0.995
29,ma.S.L24,   -0.9245,    0.003, -363.178, 0.000,   -0.929,   -0.919
30,sigma2,  1.08e+05,  688.648,  156.814, 0.000, 1.07e+05, 1.09e+05
