,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,   -0.1016,    0.004,  -23.344, 0.000,   -0.110,   -0.093
1,Wind_Generation,    0.1456,    0.008,   18.704, 0.000,    0.130,    0.161
2,Import_Coal_Generation,   -0.1626,    0.007,  -22.239, 0.000,   -0.177,   -0.148
3,Hydroelectric_Generation,    0.1274,    0.006,   21.062, 0.000,    0.116,    0.139
4,Domestic_Coal_Generation,   -0.1742,    0.030,   -5.745, 0.000,   -0.234,   -0.115
5,Price_Cap,   -0.0350,    0.214,   -0.164, 0.870,   -0.455,    0.385
6,Hour_Sin,   97.9463,  117.751,    0.832, 0.406, -132.841,  328.733
7,Hour_Cos,  -60.1785,  115.769,   -0.520, 0.603, -287.081,  166.724
8,Month_Sin,  405.7848,  279.222,    1.453, 0.146, -141.480,  953.050
9,Month_Cos,  508.8847,   90.272,    5.637, 0.000,  331.955,  685.815
10,Monday,  -42.1242,   16.488,   -2.555, 0.011,  -74.439,   -9.809
11,Tuesday,  -60.7619,   23.388,   -2.598, 0.009, -106.602,  -14.922
12,Wednesday,  -61.7735,   25.469,   -2.425, 0.015, -111.692,  -11.855
13,Thursday, -119.9319,   25.472,   -4.708, 0.000, -169.857,  -70.007
14,Friday, -224.0655,   22.246,  -10.072, 0.000, -267.668, -180.463
15,Saturday, -130.4084,   16.863,   -7.733, 0.000, -163.459,  -97.358
16,Solar_Generation_Share, 3628.1391,  295.735,   12.268, 0.000, 3048.510, 4207.769
17,Interaction_Solar_Sunday, 3556.8832,  140.439,   25.327, 0.000, 3281.627, 3832.139
18,Interaction_Solar_Holiday, 1311.2813,  181.893,    7.209, 0.000,  954.777, 1667.785
19,ar.L1,    0.8804,    0.002,  371.739, 0.000,    0.876,    0.885
20,ma.L1,   -0.9974,    0.000,-2221.585, 0.000,   -0.998,   -0.997
21,ar.S.L24,    0.9824,    0.001, 1273.366, 0.000,    0.981,    0.984
22,ma.S.L24,   -0.8772,    0.002, -487.931, 0.000,   -0.881,   -0.874
23,sigma2,  1.98e+05,  713.206,  277.615, 0.000, 1.97e+05, 1.99e+05
