,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,    0.1120,    0.003,   38.917, 0.000,    0.106,    0.118
1,Wind_Generation,   -0.1054,    0.004,  -28.384, 0.000,   -0.113,   -0.098
2,Import_Coal_Generation,    0.1955,    0.006,   32.459, 0.000,    0.184,    0.207
3,Hydroelectric_Generation,   -0.1168,    0.004,  -26.957, 0.000,   -0.125,   -0.108
4,Domestic_Coal_Generation,    0.0313,    0.019,    1.661, 0.097,   -0.006,    0.068
5,Price_Cap,    0.3408,    0.096,    3.568, 0.000,    0.154,    0.528
6,Hour_Sin,  213.0917,  146.847,    1.451, 0.147,  -74.722,  500.906
7,Hour_Cos,   76.8497,  152.022,    0.506, 0.613, -221.108,  374.807
8,Month_Sin, -425.6861,  190.770,   -2.231, 0.026, -799.588,  -51.785
9,Month_Cos,   18.7494,   56.707,    0.331, 0.741,  -92.394,  129.893
10,Monday,    6.9199,   14.810,    0.467, 0.640,  -22.108,   35.948
11,Tuesday,   -8.8884,   20.128,   -0.442, 0.659,  -48.339,   30.562
12,Wednesday,   -8.0764,   22.372,   -0.361, 0.718,  -51.925,   35.772
13,Thursday,  -65.8392,   22.282,   -2.955, 0.003, -109.510,  -22.168
14,Friday, -117.1048,   20.324,   -5.762, 0.000, -156.940,  -77.270
15,Saturday,  -80.6708,   15.198,   -5.308, 0.000, -110.458,  -50.883
16,Solar_Generation_Share,-7743.2626,  194.796,  -39.751, 0.000,-8125.056,-7361.469
17,Interaction_Solar_Sunday, 1510.6002,   98.465,   15.342, 0.000, 1317.613, 1703.587
18,Interaction_Solar_Holiday, 1384.2936,  120.153,   11.521, 0.000, 1148.799, 1619.789
19,ar.L1,    0.5312,    0.006,   90.648, 0.000,    0.520,    0.543
20,ma.L1,   -0.9331,    0.003, -318.481, 0.000,   -0.939,   -0.927
21,ar.S.L24,    0.9968,    0.001, 1513.032, 0.000,    0.996,    0.998
22,ma.S.L24,   -0.9286,    0.002, -373.650, 0.000,   -0.933,   -0.924
23,sigma2, 1.093e+05,  705.990,  154.757, 0.000, 1.08e+05, 1.11e+05
