,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,   -0.1290,    0.005,  -28.551, 0.000,   -0.138,   -0.120
1,Wind_Generation,    0.1200,    0.008,   15.017, 0.000,    0.104,    0.136
2,Import_Coal_Generation,   -0.2682,    0.007,  -37.810, 0.000,   -0.282,   -0.254
3,Hydroelectric_Generation,    0.1095,    0.006,   19.166, 0.000,    0.098,    0.121
4,Domestic_Coal_Generation,   -0.2330,    0.032,   -7.386, 0.000,   -0.295,   -0.171
5,Price_Cap,   -0.0606,    0.220,   -0.276, 0.783,   -0.492,    0.371
6,Hour_Sin,   88.5355,  172.596,    0.513, 0.608, -249.747,  426.818
7,Hour_Cos, -213.5740,  165.455,   -1.291, 0.197, -537.860,  110.712
8,Month_Sin,  337.4120,  288.890,    1.168, 0.243, -228.803,  903.627
9,Month_Cos,  522.6198,   97.752,    5.346, 0.000,  331.030,  714.209
10,Monday,  -51.7618,   17.297,   -2.993, 0.003,  -85.663,  -17.860
11,Tuesday,  -69.8639,   24.514,   -2.850, 0.004, -117.910,  -21.818
12,Wednesday,  -66.6647,   26.590,   -2.507, 0.012, -118.780,  -14.549
13,Thursday, -125.7764,   26.526,   -4.742, 0.000, -177.767,  -73.786
14,Friday, -225.3029,   23.224,   -9.701, 0.000, -270.822, -179.784
15,Saturday, -129.7352,   17.616,   -7.364, 0.000, -164.263,  -95.208
16,Interaction_Solar_Peak,  310.4017,  131.687,    2.357, 0.018,   52.300,  568.503
17,ar.L1,    0.8824,    0.002,  365.770, 0.000,    0.878,    0.887
18,ma.L1,   -0.9970,    0.000,-2011.824, 0.000,   -0.998,   -0.996
19,ar.S.L24,    0.9884,    0.001, 1548.651, 0.000,    0.987,    0.990
20,ma.S.L24,   -0.8853,    0.002, -549.980, 0.000,   -0.889,   -0.882
21,sigma2, 2.065e+05,  783.133,  263.675, 0.000, 2.05e+05, 2.08e+05
