,,coef,std err,z,P>|z|,[0.025,0.975]
0,const,    3.6035,    0.172,   20.981, 0.000,    3.267,    3.940
1,Solar_Generation_Share,    8.6111,    0.274,   31.445, 0.000,    8.074,    9.148
2,Consumption,-8.101e-05, 4.98e-06,  -16.259, 0.000,-9.08e-05,-7.12e-05
3,Wind_Generation, 8.873e-05, 6.49e-06,   13.680, 0.000,  7.6e-05,    0.000
4,Import_Coal_Generation, -7.85e-05, 1.29e-05,   -6.078, 0.000,   -0.000,-5.32e-05
5,Hydroelectric_Generation,   -0.0001, 7.44e-06,  -15.486, 0.000,   -0.000,   -0.000
6,Domestic_Coal_Generation,-1.047e-05,  2.6e-05,   -0.403, 0.687,-6.14e-05, 4.04e-05
7,Price_Cap,   -0.0003, 2.05e-05,  -15.109, 0.000,   -0.000,   -0.000
8,Hour_Sin,   -0.2682,    0.026,  -10.215, 0.000,   -0.320,   -0.217
9,Hour_Cos,    0.6657,    0.033,   20.308, 0.000,    0.601,    0.730
10,Month_Sin,   -0.5579,    0.054,  -10.350, 0.000,   -0.663,   -0.452
11,Month_Cos,    0.0572,    0.022,    2.657, 0.008,    0.015,    0.099
12,Monday,    0.1010,    0.049,    2.072, 0.038,    0.005,    0.196
13,Tuesday,    0.1105,    0.050,    2.201, 0.028,    0.012,    0.209
14,Wednesday,    0.1034,    0.051,    2.044, 0.041,    0.004,    0.203
15,Thursday,-2.015e-05,    0.052,   -0.000, 1.000,   -0.101,    0.101
16,Friday,    0.0760,    0.050,    1.508, 0.132,   -0.023,    0.175
17,Saturday,   -0.1686,    0.048,   -3.484, 0.000,   -0.263,   -0.074
