,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,   -0.1274,    0.004,  -29.232, 0.000,   -0.136,   -0.119
1,Wind_Generation,    0.1199,    0.008,   15.045, 0.000,    0.104,    0.135
2,Import_Coal_Generation,   -0.2734,    0.007,  -38.151, 0.000,   -0.287,   -0.259
3,Hydroelectric_Generation,    0.1097,    0.006,   19.209, 0.000,    0.099,    0.121
4,Domestic_Coal_Generation,   -0.2339,    0.032,   -7.403, 0.000,   -0.296,   -0.172
5,Price_Cap,   -0.0656,    0.220,   -0.298, 0.766,   -0.497,    0.366
6,Hour_Sin,   79.1333,  173.106,    0.457, 0.648, -260.149,  418.415
7,Hour_Cos, -221.1324,  165.519,   -1.336, 0.182, -545.545,  103.280
8,Month_Sin,  335.5962,  288.944,    1.161, 0.245, -230.724,  901.917
9,Month_Cos,  522.2344,   98.157,    5.320, 0.000,  329.850,  714.619
10,Monday,  -51.8004,   17.310,   -2.993, 0.003,  -85.727,  -17.874
11,Tuesday,  -70.5511,   24.536,   -2.875, 0.004, -118.642,  -22.461
12,Wednesday,  -67.2670,   26.624,   -2.527, 0.012, -119.448,  -15.086
13,Thursday, -127.3287,   26.585,   -4.789, 0.000, -179.434,  -75.223
14,Friday, -226.3622,   23.246,   -9.737, 0.000, -271.924, -180.800
15,Saturday, -130.5351,   17.628,   -7.405, 0.000, -165.086,  -95.985
16,System_Direction_Down,  -12.3615,    7.701,   -1.605, 0.108,  -27.456,    2.733
17,ar.L1,    0.8825,    0.002,  364.166, 0.000,    0.878,    0.887
18,ma.L1,   -0.9968,    0.001,-1904.712, 0.000,   -0.998,   -0.996
19,ar.S.L24,    0.9885,    0.001, 1550.088, 0.000,    0.987,    0.990
20,ma.S.L24,   -0.8850,    0.002, -549.093, 0.000,   -0.888,   -0.882
21,sigma2, 2.067e+05,  774.771,  266.792, 0.000, 2.05e+05, 2.08e+05
